country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","09-12-2025 21:00:00",21.194815,81.314770,NO2,19,107,53
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","09-12-2025 21:00:00",22.348441,82.549611,PM10,92,93,93
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","09-12-2025 21:00:00",22.348441,82.549611,NO2,44,67,52
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","09-12-2025 21:00:00",22.1910172,83.5197009,OZONE,1,136,77
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","09-12-2025 21:00:00",21.258815,81.578979,PM2.5,48,172,104
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","09-12-2025 21:00:00",25.892357,86.590325,PM10,96,230,144
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","09-12-2025 21:00:00",25.859655,85.77944,PM2.5,62,332,122
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","09-12-2025 21:00:00",25.859655,85.77944,SO2,20,29,24
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","09-12-2025 21:00:00",24.952822,84.002396,OZONE,16,31,18
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","09-12-2025 21:00:00",28.695381,77.181665,PM10,142,339,223
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","09-12-2025 21:00:00",28.695381,77.181665,SO2,11,31,18
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","09-12-2025 21:00:00",28.4706914,77.1099364,NO2,2,40,18
India,Delhi,Delhi,"Bawana, Delhi - DPCC","09-12-2025 21:00:00",28.776200,77.051074,NO2,15,72,34
India,Delhi,Delhi,"Narela, Delhi - DPCC","09-12-2025 21:00:00",28.822836,77.101981,PM2.5,78,375,285
India,Delhi,Delhi,"Narela, Delhi - DPCC","09-12-2025 21:00:00",28.822836,77.101981,SO2,7,22,14
India,Delhi,Delhi,"Narela, Delhi - DPCC","09-12-2025 21:00:00",28.822836,77.101981,OZONE,12,93,56
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","09-12-2025 21:00:00",28.567890,77.250515,OZONE,3,290,148
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","09-12-2025 21:00:00",28.6573814,77.1585447,PM10,122,381,197
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","09-12-2025 21:00:00",28.6573814,77.1585447,CO,38,124,67
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","09-12-2025 21:00:00",28.623763,77.287209,PM2.5,73,362,287
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","09-12-2025 21:00:00",28.623763,77.287209,PM10,124,277,198
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","09-12-2025 21:00:00",22.977134,72.553024,SO2,12,118,60
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","09-12-2025 21:00:00",22.977134,72.553024,CO,47,126,79
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","09-12-2025 21:00:00",23.002657,72.591912,SO2,41,54,46
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","09-12-2025 21:00:00",23.020509,72.579261,CO,6,77,19
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","09-12-2025 21:00:00",23.016834,72.625775,PM10,81,194,121
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","09-12-2025 21:00:00",23.016834,72.625775,CO,28,122,55
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","09-12-2025 21:00:00",23.041137,72.456691,PM10,91,184,122
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","09-12-2025 21:00:00",28.732820,77.170633,PM2.5,143,378,317
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","09-12-2025 21:00:00",28.732820,77.170633,NH3,7,10,9
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","09-12-2025 21:00:00",28.732820,77.170633,SO2,18,51,31
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","09-12-2025 21:00:00",28.580280,77.233829,NH3,5,5,5
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","09-12-2025 21:00:00",28.5918245,77.2273074,PM2.5,85,324,237
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","09-12-2025 21:00:00",28.5918245,77.2273074,CO,16,44,25
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","09-12-2025 21:00:00",28.531346,77.190156,NO2,24,102,47
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","09-12-2025 21:00:00",28.531346,77.190156,NH3,6,8,7
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","09-12-2025 21:00:00",28.699793,77.165453,NH3,8,12,11
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","09-12-2025 21:00:00",28.699793,77.165453,CO,44,120,92
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","09-12-2025 21:00:00",23.107969,72.574648,OZONE,18,100,64
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","09-12-2025 21:00:00",28.498571,77.264840,OZONE,14,68,42
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","09-12-2025 21:00:00",28.5710274,77.0719006,CO,30,128,72
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","09-12-2025 21:00:00",28.5627763,77.1180053,PM2.5,83,296,191
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","09-12-2025 21:00:00",28.542460,77.191651,OZONE,10,45,29
India,Delhi,Delhi,"Bawana, Delhi - DPCC","09-12-2025 21:00:00",28.776200,77.051074,SO2,14,34,22
India,Delhi,Delhi,"Bawana, Delhi - DPCC","09-12-2025 21:00:00",28.776200,77.051074,OZONE,5,95,59
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","09-12-2025 21:00:00",28.7256504,77.2011573,PM10,141,270,191
India,Delhi,Delhi,"DTU, Delhi - CPCB","09-12-2025 21:00:00",28.7500499,77.1112615,NH3,9,14,12
India,Delhi,Delhi,"DTU, Delhi - CPCB","09-12-2025 21:00:00",28.7500499,77.1112615,OZONE,14,28,22
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","09-12-2025 21:00:00",28.6514781,77.1473105,SO2,11,26,15
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","09-12-2025 21:00:00",28.6514781,77.1473105,OZONE,9,29,19
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","09-12-2025 21:00:00",28.5504249,77.2159377,PM2.5,109,338,292
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","09-12-2025 21:00:00",28.710508,77.249485,PM10,129,294,209
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","09-12-2025 21:00:00",28.636429,77.201067,NH3,5,9,7
India,Delhi,Delhi,"Mundka, Delhi - DPCC","09-12-2025 21:00:00",28.684678,77.076574,PM10,138,500,283
India,Delhi,Delhi,"Mundka, Delhi - DPCC","09-12-2025 21:00:00",28.684678,77.076574,OZONE,4,93,54
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","09-12-2025 21:00:00",28.60909,77.0325413,NO2,56,96,69
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","09-12-2025 21:00:00",28.674045,77.131023,NH3,5,6,5
India,Delhi,Delhi,"Pusa, Delhi - IMD","09-12-2025 21:00:00",28.636110,77.173332,OZONE,9,139,80
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","09-12-2025 21:00:00",28.563262,77.186937,PM10,137,238,187
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","09-12-2025 21:00:00",20.362421,72.918013,OZONE,5,25,15
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","09-12-2025 21:00:00",22.969611,72.643500,PM2.5,58,260,143
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","09-12-2025 21:00:00",22.969611,72.643500,SO2,3,9,6
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","09-12-2025 21:00:00",30.379589,76.778328,PM10,63,94,79
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","09-12-2025 21:00:00",28.6701,76.9254,NH3,12,14,13
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","09-12-2025 21:00:00",28.3419248,77.319699,PM10,173,278,232
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","09-12-2025 21:00:00",28.3419248,77.319699,NO2,19,21,20
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","09-12-2025 21:00:00",28.3419248,77.319699,NH3,3,3,3
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","09-12-2025 21:00:00",28.3153,76.9143,OZONE,1,72,46
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","09-12-2025 21:00:00",29.432304,76.972765,PM2.5,123,319,231
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","09-12-2025 21:00:00",29.432304,76.972765,OZONE,30,30,30
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","09-12-2025 21:00:00",28.52123,76.37138,PM10,22,92,53
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","09-12-2025 21:00:00",29.536400,75.015800,NH3,11,16,13
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","09-12-2025 21:00:00",29.536400,75.015800,SO2,12,21,14
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","09-12-2025 21:00:00",28.3419248,77.319699,SO2,5,10,8
